685300,22020096,12804744,34824840
1003872100,5316600,13140568,18457168
2006234900,6365176,13290952,19656128
3007795600,6365176,13420248,19785424
4018687500,7413752,13526672,20940424
5022644400,7413752,13614152,21027904
6036933400,8462328,13708768,22171096
7038795400,9510904,13772976,23283880
8041769100,9510904,13865400,23376304
9057152600,10559480,13943080,24502560
10067531000,10559480,14043864,24603344
11069771800,11608056,14149720,25757776
12072751400,11608056,14207792,25815848
13075871100,12656632,14316896,26973528
14077485100,13705208,14392952,28098160
15079070000,13705208,14443712,28148920
16092436100,14753784,14492792,29246576
17093129600,14753784,14518032,29271816
18095968600,15802360,14581984,30384344
19097311000,15802360,14597824,30400184
20099489200,16850936,14647248,31498184
21104842400,17899512,14673536,32573048
22116379200,17899512,14702576,32602088
23120347800,18948088,14718360,33666448
24125710200,19996664,14771752,34768416
25139259800,19996664,14818784,34815448
26148252000,21045240,14968208,36013448
27160398200,21045240,15048848,36094088
28170702300,22093816,15057488,37151304
29185715900,23142392,15065208,38207600
30194793200,23142392,15080360,38222752
31197634400,24190968,15080360,39271328
32199473600,24190968,15091720,39282688
33203666100,25239544,15131688,40371232
34212957400,25239544,15138960,40378504
35223264300,26288120,15146512,41434632
36242876900,27336696,15183040,42519736
37244207500,27336696,15207168,42543864
38252539300,28385272,15295384,43680656
39256893600,28385272,15346360,43731632
40259455700,29433848,15351888,44785736
41266925500,29433848,15362952,44796800
42275791700,30482424,15367640,45850064
43289597300,30482424,15397800,45880224
44292316800,31531000,15397800,46928800
45297648300,4780352,15429528,20209880
46312594500,6877504,15465216,22342720
47326916200,6877504,15488656,22366160
48331398900,7926080,15505936,23432016
49342397400,7926080,15563040,23489120
50346041200,8974656,15571872,24546528
51347221000,8974656,15574176,24548832
52350868500,10023232,15618872,25642104
53362158300,11071808,15631016,26702824
54377279000,12120384,15632624,27753008
55382434500,12120384,15654320,27774704
56389558800,13168960,15693872,28862832
57391285100,13168960,15769768,28938728
58397979700,14217536,15769768,29987304
59407043800,14217536,15770920,29988456
60410928000,15266112,15881864,31147976
61414100200,15266112,15907936,31174048
10700,9139968,16122432,25262400
1001229900,10188544,16133696,26322240
2015890500,10188544,16145216,26333760
3022787200,4301536,16274880,20576416
4023039700,5350112,16329448,21679560
5025403500,5350112,16330472,21680584
6025979900,6398688,16345056,22743744
7026307400,6398688,16365152,22763840
8041711800,7447264,16374752,23822016
9044254200,8495840,16378800,24874640
10058450500,8495840,16379696,24875536
11069744700,9544416,16382768,25927184
12084705000,10592992,16396776,26989768
13092589300,10592992,16401368,26994360
14097709600,11641568,16408224,28049792
15101696000,11641568,16408224,28049792
16101775500,4256696,16408224,20664920
17116411600,4256696,16419424,20676120
18117835700,5305272,16423520,21728792
19120834400,6353848,16423520,22777368
20132949000,6353848,16479880,22833728
21135535100,7402424,16479880,23882304
22138841000,7402424,16481928,23884352
23147578800,8451000,16484488,24935488
24149532000,8451000,16488072,24939072
25157473000,9499576,16509160,26008736
26163745700,9499576,16511848,26011424
27165661200,10548152,16517480,27065632
28167848500,11596728,16519400,28116128
29181286800,11596728,16519400,28116128
30183965600,12645304,16521480,29166784
31184458500,12645304,16522376,29167680
32197857600,12645304,16524168,29169472
33212973500,4261864,16526088,20787952
34222087100,4261864,16526088,20787952
35228116500,5310440,16531656,21842096
36230810300,5310440,16571688,21882128
37231662300,6359016,16574120,22933136
38236887800,7407592,16574888,23982480
39247408500,7407592,16581552,23989144
40260101700,8456168,16636024,25092192
41274062600,8456168,16636024,25092192
